Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/16/2023 13:03,1/17/2023 5:00,Easy Trip Planners Pvt,-75.85,0,EUR,COMPLETED,750.99
TOPUP,Current,1/17/2023 9:09,1/17/2023 9:09,Payment from Pablo Vazquez Garcia,3000,0,EUR,COMPLETED,3750.99
CARD_PAYMENT,Current,1/17/2023 12:39,1/17/2023 15:26,Flight On Booking.com,-825.86,0,EUR,COMPLETED,2925.13
ATM,Current,1/17/2023 13:57,1/18/2023 4:35,Cash at Delhi Connaught Circ N,-56.71,0,EUR,COMPLETED,2868.42
CARD_PAYMENT,Current,1/17/2023 13:02,1/18/2023 5:01,-Kiwi.com-,-321.59,0,EUR,COMPLETED,2546.83
CARD_PAYMENT,Current,1/17/2023 5:35,1/18/2023 5:09,Payup*amazo,-82.97,0,EUR,COMPLETED,2463.86
CARD_PAYMENT,Current,1/18/2023 12:33,1/19/2023 2:33,Taxis On Booking,-17.52,0,EUR,COMPLETED,2446.34
ATM,Current,1/19/2023 5:20,1/20/2023 4:34,Cash at Connaught Place Br,-59.56,0,EUR,COMPLETED,2386.78
CARD_PAYMENT,Current,1/19/2023 3:47,1/20/2023 4:42,Cafe Coffee Day Inner,-2.3,0,EUR,COMPLETED,2384.48
ATM,Current,1/20/2023 8:22,1/21/2023 12:16,Cash at Ybl Cp-Ii Delhi1,-57.1,0,EUR,COMPLETED,2327.38
CARD_PAYMENT,Current,1/20/2023 16:45,1/21/2023 12:17,Bhadra Kali Guest Hous,-184.61,0,EUR,COMPLETED,2142.77
CARD_PAYMENT,Current,1/20/2023 11:57,1/21/2023 13:11,Msw*travel Retail Serv,-11.42,0,EUR,COMPLETED,2131.35
CARD_PAYMENT,Current,1/21/2023 3:00,1/22/2023 1:18,Shankar Brothers,-22.96,0.23,EUR,COMPLETED,2108.16
ATM,Current,1/21/2023 8:12,1/22/2023 5:24,"Cash at Malviya Chowk, Varanas",-59.7,0.6,EUR,COMPLETED,2047.86
ATM,Current,1/22/2023 7:49,1/23/2023 4:29,Cash at D-17/136-137 A,-57.4,0.57,EUR,COMPLETED,1989.89
CARD_PAYMENT,Current,1/23/2023 2:24,1/24/2023 5:01,Payup*amazo,-19.41,0,EUR,COMPLETED,1970.48
CARD_PAYMENT,Current,1/24/2023 13:55,1/25/2023 2:39,Uber * Pending,-2.62,0,EUR,COMPLETED,1967.86
ATM,Current,1/24/2023 13:27,1/25/2023 4:33,Cash at Khan Market Br,-58.62,0,EUR,COMPLETED,1909.24
ATM,Current,1/24/2023 11:41,1/25/2023 4:33,Cash at Janpath,-56.4,0,EUR,COMPLETED,1852.84
ATM,Current,1/24/2023 11:42,1/25/2023 4:33,Cash at Janpath,-56.4,0,EUR,COMPLETED,1796.44
ATM,Current,1/24/2023 13:26,1/25/2023 4:33,Cash at Khan Market Br,-58.62,0,EUR,COMPLETED,1737.82
CARD_PAYMENT,Current,1/24/2023 10:00,1/25/2023 4:33,Tata Starbucks Private,-5.47,0,EUR,COMPLETED,1732.35
CARD_PAYMENT,Current,1/24/2023 13:17,1/25/2023 4:33,Amici,-36.98,0,EUR,COMPLETED,1695.37
CARD_PAYMENT,Current,1/25/2023 6:12,1/25/2023 15:24,Hotel At Booking.com,-46.3,0,EUR,COMPLETED,1649.07
ATM,Current,1/25/2023 13:28,1/26/2023 4:29,Cash at Ybl Cp Branch Bna,-56.41,0,EUR,COMPLETED,1592.66
