Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2/26/2023 19:56,2/28/2023 2:47,Msw*foxoso Hospitality,-40.14,0.4,EUR,COMPLETED,2268.72
CARD_PAYMENT,Current,2/27/2023 2:09,2/28/2023 2:47,Msw*foxoso Hospitality,-5.9,0,EUR,COMPLETED,2262.82
ATM,Current,2/27/2023 12:02,2/28/2023 4:41,Cash at Sook Siam (icon Siam),-545.85,0,EUR,COMPLETED,1716.97
CARD_PAYMENT,Current,2/27/2023 4:18,2/28/2023 4:42,Masala Twist Piers,-3.21,0,EUR,COMPLETED,1713.76
CARD_PAYMENT,Current,2/28/2023 12:59,3/1/2023 2:14,www.grab.com,-5.18,0,EUR,COMPLETED,1708.58
CARD_PAYMENT,Current,3/1/2023 4:56,3/2/2023 2:23,www.grab.com,-5.03,0,EUR,COMPLETED,1703.55
CARD_PAYMENT,Current,3/1/2023 13:10,3/2/2023 2:23,www.grab.com,-4.47,0,EUR,COMPLETED,1699.08
CARD_PAYMENT,Current,3/1/2023 15:01,3/2/2023 2:40,Hotel On Booking.com,-237.47,0,EUR,COMPLETED,1461.61
CARD_PAYMENT,Current,3/4/2023 10:33,3/5/2023 2:14,Intermart Thailand,-7.87,0.08,EUR,COMPLETED,1453.66
CARD_PAYMENT,Current,3/3/2023 23:52,3/5/2023 2:20,"Elephant Gogo Co.,ltd.",-19.09,0.19,EUR,COMPLETED,1434.38
CARD_PAYMENT,Current,3/5/2023 3:41,3/6/2023 5:23,www.grab.com,-6.82,0.07,EUR,COMPLETED,1427.49
CARD_PAYMENT,Current,3/5/2023 6:46,3/6/2023 5:23,www.grab.com,-4.89,0.05,EUR,COMPLETED,1422.55
CARD_PAYMENT,Current,3/5/2023 0:35,3/6/2023 5:23,www.grab.com,-5.05,0.05,EUR,COMPLETED,1417.45
CARD_PAYMENT,Current,3/5/2023 9:17,3/6/2023 5:23,www.grab.com,-1.37,0.01,EUR,COMPLETED,1416.07
CARD_PAYMENT,Current,3/5/2023 6:17,3/6/2023 5:23,www.grab.com,-5.22,0.05,EUR,COMPLETED,1410.8
CARD_PAYMENT,Current,3/5/2023 1:02,3/6/2023 5:23,www.grab.com,-1.1,0.01,EUR,COMPLETED,1409.69
ATM,Current,3/5/2023 1:43,3/6/2023 6:04,Cash at Talat Nam Klong Lat Ma,-55.11,0.55,EUR,COMPLETED,1354.03
CARD_PAYMENT,Current,3/5/2023 13:54,3/7/2023 2:26,www.grab.com,-9.53,0.1,EUR,COMPLETED,1344.4
CARD_PAYMENT,Current,3/5/2023 16:06,3/7/2023 2:27,King Power Tax Free-Sv,-73.38,0.73,EUR,COMPLETED,1270.29
CARD_PAYMENT,Current,3/5/2023 16:16,3/7/2023 2:33,The Coffee Club Sbia I,-1.15,0.01,EUR,COMPLETED,1269.13
ATM,Current,3/6/2023 1:16,3/7/2023 4:39,Cash at 663-7417 Japan,-209.97,1,EUR,COMPLETED,1058.16
CARD_PAYMENT,Current,3/6/2023 1:43,3/8/2023 9:07,Jr East,-233.25,0,EUR,COMPLETED,824.91
CARD_PAYMENT,Current,3/6/2023 3:29,3/8/2023 9:43,Tokaikiyosuku Kiyosuku,-1.57,0,EUR,COMPLETED,823.34
CARD_PAYMENT,Current,3/6/2023 9:47,3/8/2023 12:22,Hikinikutokome Kyoto,-15.78,0,EUR,COMPLETED,807.56
CARD_PAYMENT,Current,3/6/2023 1:04,3/8/2023 12:22,Starbucks Coffee,-4.71,0,EUR,COMPLETED,802.85
CARD_PAYMENT,Current,3/8/2023 12:25,3/10/2023 11:50,Roppongi Fukuzushi,-221.03,0,EUR,COMPLETED,581.82
ATM,Current,3/9/2023 10:48,3/10/2023 12:42,Cash at Familymart Shinjyukugo,-70.36,1.41,EUR,COMPLETED,510.05
ATM,Current,3/9/2023 7:41,3/10/2023 12:42,Cash at Chuo-Ku,-27.75,1,EUR,COMPLETED,481.3
ATM,Current,3/9/2023 3:20,3/10/2023 12:42,Cash at Taito-Ku,-20.8,1,EUR,COMPLETED,459.5
CARD_PAYMENT,Current,3/8/2023 10:10,3/10/2023 13:38,Uniqlo Co Ltd,-52.66,0,EUR,COMPLETED,406.84
EXCHANGE,Current,3/10/2023 22:40,3/10/2023 22:40,Exchanged to USD,-100,0,EUR,COMPLETED,306.84
CARD_PAYMENT,Current,3/7/2023 23:22,3/11/2023 4:19,Keihan Shijo Sta,-3.53,0,EUR,COMPLETED,303.31
CARD_PAYMENT,Current,3/8/2023 23:50,3/11/2023 12:37,Lawson,-4.93,0,EUR,COMPLETED,298.38
CARD_PAYMENT,Current,3/9/2023 2:33,3/11/2023 12:37,Uniqlo Co Ltd,-10.4,0,EUR,COMPLETED,287.98
CARD_PAYMENT,Current,3/9/2023 7:27,3/11/2023 12:37,Tiyainaga-Denn Ginnza,-9.17,0,EUR,COMPLETED,278.81
ATM,Current,3/11/2023 18:40,3/12/2023 5:31,Cash at Tienda 740 Iquitos I,-104.37,3.13,EUR,COMPLETED,171.31
TOPUP,Current,3/13/2023 8:04,3/13/2023 8:04,Payment from Pablo Vazquez Garcia,600,0,EUR,COMPLETED,771.31
ATM,Current,3/13/2023 15:24,3/14/2023 3:30,Cash at Banco De Credito,-24.59,1,EUR,COMPLETED,745.72
ATM,Current,3/13/2023 15:23,3/14/2023 3:30,Cash at Banco De Credito,-24.58,1,EUR,COMPLETED,720.14
TOPUP,Current,3/14/2023 9:32,3/14/2023 9:32,Payment from Vazquez Garcia Pablo,1000,0,EUR,COMPLETED,1720.14
EXCHANGE,Current,3/14/2023 9:37,3/14/2023 9:37,Exchanged to USD,-720,0,EUR,COMPLETED,1000.14
CARD_PAYMENT,Current,3/14/2023 11:22,3/15/2023 1:42,Ebay O*16-09817-06805,-157,0,EUR,COMPLETED,843.14
CARD_PAYMENT,Current,3/14/2023 12:05,3/15/2023 10:00,Renfe Virtual Internet,-33.05,0,EUR,COMPLETED,810.09
CARD_PAYMENT,Current,3/14/2023 11:40,3/15/2023 10:02,Paleobull,-88.15,0,EUR,COMPLETED,721.94
ATM,Current,3/18/2023 15:41,3/20/2023 11:20,Cash at Ag. 3 Nauta,-4.98,1.05,EUR,COMPLETED,715.91
ATM,Current,3/22/2023 15:56,3/23/2023 3:23,Cash at Ag. 3 Nauta,-4.93,0,EUR,COMPLETED,710.98
CARD_PAYMENT,Current,3/27/2023 14:42,3/28/2023 10:33,Izi*abarrotes Joselito,-261.59,0,EUR,COMPLETED,449.39
CARD_PAYMENT,Current,3/28/2023 0:28,3/28/2023 11:31,Tanta,-22.09,0,EUR,COMPLETED,427.3
CARD_PAYMENT,Current,3/28/2023 17:23,3/29/2023 3:41,La Veloz Estacion Sur,-11.33,0,EUR,COMPLETED,415.97
CARD_PAYMENT,Current,3/28/2023 17:44,3/29/2023 3:41,Esamsa,-1,0,EUR,COMPLETED,414.97
CARD_PAYMENT,Current,3/28/2023 16:02,3/29/2023 9:41,Renfe Cercanias Tna 28,-3.1,0,EUR,COMPLETED,411.87
CARD_PAYMENT,Current,4/8/2023 13:29,4/9/2023 9:44,Fpv Dhamma Sacca,-200,0,EUR,COMPLETED,211.87
CARD_PAYMENT,Current,4/10/2023 9:26,4/11/2023 10:07,Renfe Virtual Internet,-12.7,0,EUR,COMPLETED,199.17
CARD_PAYMENT,Current,4/10/2023 9:55,4/11/2023 10:08,E S Fernandez Bermejo,-3,0,EUR,COMPLETED,196.17
CARD_PAYMENT,Current,4/11/2023 11:20,4/12/2023 11:52,Alimerka Glez Besada,-49.8,0,EUR,COMPLETED,146.37
CARD_PAYMENT,Current,4/14/2023 17:08,4/15/2023 13:00,Dia Retail Vallad 3906,-25.54,0,EUR,COMPLETED,120.83
CARD_PAYMENT,Current,4/17/2023 10:12,4/18/2023 3:39,Familia Campomanes - 3,-40.48,0,EUR,COMPLETED,80.35
CARD_PAYMENT,Current,4/22/2023 8:26,4/23/2023 14:08,Renfe Virtual Internet,-77.25,0,EUR,COMPLETED,3.1
TOPUP,Current,4/25/2023 7:00,4/25/2023 7:00,Payment from Pablo Vazquez Garcia,750,0,EUR,COMPLETED,753.1
CARD_PAYMENT,Current,4/26/2023 17:18,4/27/2023 3:50,El Corte Ingles Depart,-95,0,EUR,COMPLETED,658.1
CARD_PAYMENT,Current,4/27/2023 21:55,4/28/2023 11:24,Moygarsa,-5.55,0,EUR,COMPLETED,652.55
CARD_PAYMENT,Current,4/29/2023 4:44,4/29/2023 16:28,Ebay O*08-10000-04749,-27.82,0,EUR,COMPLETED,624.73
