Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/27/2023,1/28/2023,Cafe Coffee Day Inner,-2.73,0,EUR,COMPLETED,1530.79
CARD_PAYMENT,Current,1/27/2023,1/28/2023,Cafe Coffee Day Inner,-3.18,0,EUR,COMPLETED,1527.61
CARD_PAYMENT,Current,1/27/2023,1/28/2023,The Body Shop,-5.41,0,EUR,COMPLETED,1522.2
ATM,Current,1/28/2023,1/29/2023,Cash at Connaught Place,-59.65,0.6,EUR,COMPLETED,1461.95
CARD_PAYMENT,Current,1/28/2023,1/29/2023,Cafe Coffee Day Inner,-3.76,0.04,EUR,COMPLETED,1458.15
CARD_PAYMENT,Current,1/28/2023,1/29/2023,Cafe Coffee Day Inner,-4.33,0.04,EUR,COMPLETED,1453.78
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Uber *trip Help.uber.c,-0.57,0.01,EUR,COMPLETED,1453.2
CARD_PAYMENT,Current,1/28/2023,1/31/2023,Twenty Four Seven,-11.29,0.11,EUR,COMPLETED,1441.8
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Muhavra Enterprises Pv,-8.89,0.09,EUR,COMPLETED,1432.82
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Muhavra Enterprises Pv,-2.06,0.02,EUR,COMPLETED,1430.74
CARD_PAYMENT,Current,1/30/2023,1/31/2023,Muhavra Enterprises Pv,-3.3,0,EUR,COMPLETED,1427.44
ATM,Current,1/31/2023,2/1/2023,Cash at Arora Guest House,-56.81,0,EUR,COMPLETED,1370.63
ATM,Current,1/31/2023,2/1/2023,Cash at Arora Guest House,-56.81,0,EUR,COMPLETED,1313.82
ATM,Current,2/5/2023,2/6/2023,Cash at Pnb Atm Swargashram Di,-58.56,1.59,EUR,COMPLETED,1253.67
ATM,Current,2/5/2023,2/6/2023,Cash at Pnb Atm Swargashram Di,-58.56,1.76,EUR,COMPLETED,1193.35
TRANSFER,Current,2/10/2023,2/10/2023,Revolut Ltd,-10,0,EUR,COMPLETED,1183.35
TOPUP,Current,2/13/2023,2/13/2023,Payment from Pablo Vazquez Garcia,500,0,EUR,COMPLETED,1683.35
ATM,Current,2/17/2023,2/18/2023,Cash at Swargashram,-59.02,1.18,EUR,COMPLETED,1623.15
ATM,Current,2/17/2023,2/18/2023,Cash at Swargashram,-59.03,1.18,EUR,COMPLETED,1562.94
TOPUP,Current,2/24/2023,2/24/2023,Payment from Pablo Vazquez Garcia,750,0,EUR,COMPLETED,2312.94
TRANSFER,Current,2/26/2023,2/26/2023,From MILENA ROMECKA,11,0,EUR,COMPLETED,2323.94
CARD_PAYMENT,Current,2/27/2023,2/28/2023,www.grab.com,-1.73,0,EUR,COMPLETED,2322.21
CARD_PAYMENT,Current,2/27/2023,2/28/2023,www.grab.com,-12.95,0,EUR,COMPLETED,2309.26
CARD_PAYMENT,Current,2/26/2023,2/28/2023,Msw*foxoso Hospitality,-40.14,0.4,EUR,COMPLETED,2268.72
CARD_PAYMENT,Current,2/27/2023,2/28/2023,Msw*foxoso Hospitality,-5.9,0,EUR,COMPLETED,2262.82
ATM,Current,2/27/2023,2/28/2023,Cash at Sook Siam (icon Siam),-545.85,0,EUR,COMPLETED,1716.97
CARD_PAYMENT,Current,2/27/2023,2/28/2023,Masala Twist Piers,-3.21,0,EUR,COMPLETED,1713.76
CARD_PAYMENT,Current,2/28/2023,3/1/2023,www.grab.com,-5.18,0,EUR,COMPLETED,1708.58
CARD_PAYMENT,Current,3/1/2023,3/2/2023,www.grab.com,-5.03,0,EUR,COMPLETED,1703.55
CARD_PAYMENT,Current,3/1/2023,3/2/2023,www.grab.com,-4.47,0,EUR,COMPLETED,1699.08
CARD_PAYMENT,Current,3/1/2023,3/2/2023,Hotel On Booking.com,-237.47,0,EUR,COMPLETED,1461.61
CARD_PAYMENT,Current,3/4/2023,3/5/2023,Intermart Thailand,-7.87,0.08,EUR,COMPLETED,1453.66
CARD_PAYMENT,Current,3/3/2023,3/5/2023,"Elephant Gogo Co.,ltd.",-19.09,0.19,EUR,COMPLETED,1434.38
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-6.82,0.07,EUR,COMPLETED,1427.49
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-4.89,0.05,EUR,COMPLETED,1422.55
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-5.05,0.05,EUR,COMPLETED,1417.45
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-1.37,0.01,EUR,COMPLETED,1416.07
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-5.22,0.05,EUR,COMPLETED,1410.8
CARD_PAYMENT,Current,3/5/2023,3/6/2023,www.grab.com,-1.1,0.01,EUR,COMPLETED,1409.69
ATM,Current,3/5/2023,3/6/2023,Cash at Talat Nam Klong Lat Ma,-55.11,0.55,EUR,COMPLETED,1354.03
CARD_PAYMENT,Current,3/5/2023,3/7/2023,www.grab.com,-9.53,0.1,EUR,COMPLETED,1344.4
CARD_PAYMENT,Current,3/5/2023,3/7/2023,King Power Tax Free-Sv,-73.38,0.73,EUR,COMPLETED,1270.29
CARD_PAYMENT,Current,3/5/2023,3/7/2023,The Coffee Club Sbia I,-1.15,0.01,EUR,COMPLETED,1269.13
ATM,Current,3/6/2023,3/7/2023,Cash at 663-7417 Japan,-209.97,1,EUR,COMPLETED,1058.16
CARD_PAYMENT,Current,3/6/2023,3/8/2023,Jr East,-233.25,0,EUR,COMPLETED,824.91
CARD_PAYMENT,Current,3/6/2023,3/8/2023,Tokaikiyosuku Kiyosuku,-1.57,0,EUR,COMPLETED,823.34
CARD_PAYMENT,Current,3/6/2023,3/8/2023,Hikinikutokome Kyoto,-15.78,0,EUR,COMPLETED,807.56
CARD_PAYMENT,Current,3/6/2023,3/8/2023,Starbucks Coffee,-4.71,0,EUR,COMPLETED,802.85
CARD_PAYMENT,Current,3/8/2023,3/10/2023,Roppongi Fukuzushi,-221.03,0,EUR,COMPLETED,581.82
ATM,Current,3/9/2023,3/10/2023,Cash at Familymart Shinjyukugo,-70.36,1.41,EUR,COMPLETED,510.05
ATM,Current,3/9/2023,3/10/2023,Cash at Chuo-Ku,-27.75,1,EUR,COMPLETED,481.3
ATM,Current,3/9/2023,3/10/2023,Cash at Taito-Ku,-20.8,1,EUR,COMPLETED,459.5
CARD_PAYMENT,Current,3/8/2023,3/10/2023,Uniqlo Co Ltd,-52.66,0,EUR,COMPLETED,406.84
EXCHANGE,Current,3/10/2023,3/10/2023,Exchanged to USD,-100,0,EUR,COMPLETED,306.84
CARD_PAYMENT,Current,3/7/2023,3/11/2023,Keihan Shijo Sta,-3.53,0,EUR,COMPLETED,303.31
CARD_PAYMENT,Current,3/8/2023,3/11/2023,Lawson,-4.93,0,EUR,COMPLETED,298.38
CARD_PAYMENT,Current,3/9/2023,3/11/2023,Uniqlo Co Ltd,-10.4,0,EUR,COMPLETED,287.98
CARD_PAYMENT,Current,3/9/2023,3/11/2023,Tiyainaga-Denn Ginnza,-9.17,0,EUR,COMPLETED,278.81
ATM,Current,3/11/2023,3/12/2023,Cash at Tienda 740 Iquitos I,-104.37,3.13,EUR,COMPLETED,171.31
TOPUP,Current,3/13/2023,3/13/2023,Payment from Pablo Vazquez Garcia,600,0,EUR,COMPLETED,771.31
ATM,Current,3/13/2023,3/14/2023,Cash at Banco De Credito,-24.59,1,EUR,COMPLETED,745.72
ATM,Current,3/13/2023,3/14/2023,Cash at Banco De Credito,-24.58,1,EUR,COMPLETED,720.14
TOPUP,Current,3/14/2023,3/14/2023,Payment from Vazquez Garcia Pablo,1000,0,EUR,COMPLETED,1720.14
EXCHANGE,Current,3/14/2023,3/14/2023,Exchanged to USD,-720,0,EUR,COMPLETED,1000.14
CARD_PAYMENT,Current,3/14/2023,3/15/2023,Ebay O*16-09817-06805,-157,0,EUR,COMPLETED,843.14
CARD_PAYMENT,Current,3/14/2023,3/15/2023,Renfe Virtual Internet,-33.05,0,EUR,COMPLETED,810.09
CARD_PAYMENT,Current,3/14/2023,3/15/2023,Paleobull,-88.15,0,EUR,COMPLETED,721.94
ATM,Current,3/18/2023,3/20/2023,Cash at Ag. 3 Nauta,-4.98,1.05,EUR,COMPLETED,715.91
ATM,Current,3/22/2023,3/23/2023,Cash at Ag. 3 Nauta,-4.93,0,EUR,COMPLETED,710.98
CARD_PAYMENT,Current,3/27/2023,3/28/2023,Izi*abarrotes Joselito,-261.59,0,EUR,COMPLETED,449.39
CARD_PAYMENT,Current,3/28/2023,3/28/2023,Tanta,-22.09,0,EUR,COMPLETED,427.3
CARD_PAYMENT,Current,3/28/2023,3/29/2023,La Veloz Estacion Sur,-11.33,0,EUR,COMPLETED,415.97
CARD_PAYMENT,Current,3/28/2023,3/29/2023,Esamsa,-1,0,EUR,COMPLETED,414.97
CARD_PAYMENT,Current,3/28/2023,3/29/2023,Renfe Cercanias Tna 28,-3.1,0,EUR,COMPLETED,411.87
CARD_PAYMENT,Current,4/8/2023,4/9/2023,Fpv Dhamma Sacca,-200,0,EUR,COMPLETED,211.87
CARD_PAYMENT,Current,4/10/2023,4/11/2023,Renfe Virtual Internet,-12.7,0,EUR,COMPLETED,199.17
CARD_PAYMENT,Current,4/10/2023,4/11/2023,E S Fernandez Bermejo,-3,0,EUR,COMPLETED,196.17
CARD_PAYMENT,Current,4/11/2023,4/12/2023,Alimerka Glez Besada,-49.8,0,EUR,COMPLETED,146.37
CARD_PAYMENT,Current,4/14/2023,4/15/2023,Dia Retail Vallad 3906,-25.54,0,EUR,COMPLETED,120.83
CARD_PAYMENT,Current,4/17/2023,4/18/2023,Familia Campomanes - 3,-40.48,0,EUR,COMPLETED,80.35
CARD_PAYMENT,Current,4/22/2023,4/23/2023,Renfe Virtual Internet,-77.25,0,EUR,COMPLETED,3.1
TOPUP,Current,4/25/2023,4/25/2023,Payment from Pablo Vazquez Garcia,750,0,EUR,COMPLETED,753.1
CARD_PAYMENT,Current,4/26/2023,4/27/2023,El Corte Ingles Depart,-95,0,EUR,COMPLETED,658.1
CARD_PAYMENT,Current,4/27/2023,4/28/2023,Moygarsa,-5.55,0,EUR,COMPLETED,652.55
CARD_PAYMENT,Current,4/29/2023,4/29/2023,Ebay O*08-10000-04749,-27.82,0,EUR,COMPLETED,624.73
CARD_PAYMENT,Current,4/29/2023,4/30/2023,Crivencar,-20.34,0,EUR,COMPLETED,604.39
CARD_PAYMENT,Current,4/29/2023,4/30/2023,"Fermin De Pas, Tienda",-15.67,0,EUR,COMPLETED,588.72
CARD_PAYMENT,Current,5/8/2023,5/9/2023,Alimerka Glez Besada,-51.1,0,EUR,COMPLETED,537.62
CARD_PAYMENT,Current,5/16/2023,5/17/2023,Ikea Iberica Web,-141.95,0,EUR,COMPLETED,395.67
CARD_PAYMENT,Current,5/16/2023,5/17/2023,Mercadona El Fontan,-25.13,0,EUR,COMPLETED,370.54
CASHBACK,Savings,1/3/2023,1/4/2023,Metal Cashback,0.03,0,EUR,COMPLETED,2.48
CASHBACK,Savings,1/4/2023,1/5/2023,Metal Cashback,0.11,0,EUR,COMPLETED,2.59
CASHBACK,Savings,1/5/2023,1/6/2023,Metal Cashback,0.09,0,EUR,COMPLETED,2.68
CASHBACK,Savings,1/6/2023,1/7/2023,Metal Cashback,0.2,0,EUR,COMPLETED,2.88
CASHBACK,Savings,1/7/2023,1/8/2023,Metal Cashback,0.16,0,EUR,COMPLETED,3.04
CASHBACK,Savings,1/8/2023,1/9/2023,Metal Cashback,0.07,0,EUR,COMPLETED,3.11
CASHBACK,Savings,1/11/2023,1/12/2023,Metal Cashback,0.07,0,EUR,COMPLETED,3.18
CASHBACK,Savings,1/11/2023,1/12/2023,Metal Cashback,0.05,0,EUR,COMPLETED,3.23
CASHBACK,Savings,1/11/2023,1/12/2023,Metal Cashback,0.01,0,EUR,COMPLETED,3.24
CASHBACK,Savings,1/12/2023,1/13/2023,Metal Cashback,0.08,0,EUR,COMPLETED,3.32
CASHBACK,Savings,1/13/2023,1/14/2023,Metal Cashback,0.07,0,EUR,COMPLETED,3.39
CASHBACK,Savings,1/14/2023,1/15/2023,Metal Cashback,0.86,0,EUR,COMPLETED,4.25
CASHBACK,Savings,1/14/2023,1/15/2023,Metal Cashback,0.04,0,EUR,COMPLETED,4.29
CASHBACK,Savings,1/15/2023,1/16/2023,Metal Cashback,0.29,0,EUR,COMPLETED,4.58
CASHBACK,Savings,1/14/2023,1/16/2023,Metal Cashback,0.05,0,EUR,COMPLETED,4.63
CASHBACK,Savings,1/15/2023,1/17/2023,Metal Cashback,0.11,0,EUR,COMPLETED,4.74
CASHBACK,Savings,1/16/2023,1/17/2023,Metal Cashback,0.76,0,EUR,COMPLETED,5.5
CASHBACK,Savings,1/17/2023,1/17/2023,Metal Cashback,8.26,0,EUR,COMPLETED,13.76
CASHBACK,Savings,1/17/2023,1/18/2023,Metal Cashback,0.32,0,EUR,COMPLETED,14.08
CASHBACK,Savings,1/17/2023,1/18/2023,Metal Cashback,0.83,0,EUR,COMPLETED,14.91
CASHBACK,Savings,1/18/2023,1/19/2023,Metal Cashback,0.02,0,EUR,COMPLETED,14.93
CASHBACK,Savings,1/19/2023,1/20/2023,Metal Cashback,0.02,0,EUR,COMPLETED,14.95
CASHBACK,Savings,1/20/2023,1/21/2023,Metal Cashback,1.85,0,EUR,COMPLETED,16.8
CASHBACK,Savings,1/20/2023,1/21/2023,Metal Cashback,0.11,0,EUR,COMPLETED,16.91
CASHBACK,Savings,1/21/2023,1/22/2023,Metal Cashback,0.23,0,EUR,COMPLETED,17.14
CASHBACK,Savings,1/23/2023,1/24/2023,Metal Cashback,0.19,0,EUR,COMPLETED,17.33
CASHBACK,Savings,1/24/2023,1/25/2023,Metal Cashback,0.05,0,EUR,COMPLETED,17.38
CASHBACK,Savings,1/24/2023,1/25/2023,Metal Cashback,0.37,0,EUR,COMPLETED,17.75
CASHBACK,Savings,1/25/2023,1/25/2023,Metal Cashback,0.05,0,EUR,COMPLETED,17.8
CASHBACK,Savings,1/26/2023,1/27/2023,Metal Cashback,0.03,0,EUR,COMPLETED,17.83
CASHBACK,Savings,1/27/2023,1/28/2023,Metal Cashback,0.03,0,EUR,COMPLETED,17.86
CASHBACK,Savings,1/27/2023,1/28/2023,Metal Cashback,0.03,0,EUR,COMPLETED,17.89
CASHBACK,Savings,1/27/2023,1/28/2023,Metal Cashback,0.05,0,EUR,COMPLETED,17.94
CASHBACK,Savings,1/28/2023,1/29/2023,Metal Cashback,0.04,0,EUR,COMPLETED,17.98
CASHBACK,Savings,1/28/2023,1/29/2023,Metal Cashback,0.04,0,EUR,COMPLETED,18.02
CASHBACK,Savings,1/28/2023,1/31/2023,Metal Cashback,0.11,0,EUR,COMPLETED,18.13
CASHBACK,Savings,1/29/2023,1/31/2023,Metal Cashback,0.02,0,EUR,COMPLETED,18.15
CASHBACK,Savings,1/29/2023,1/31/2023,Metal Cashback,0.09,0,EUR,COMPLETED,18.24
CASHBACK,Savings,1/30/2023,1/31/2023,Metal Cashback,0.03,0,EUR,COMPLETED,18.27
CASHBACK,Savings,2/27/2023,2/28/2023,Metal Cashback,0.02,0,EUR,COMPLETED,18.29
CASHBACK,Savings,2/27/2023,2/28/2023,Metal Cashback,0.13,0,EUR,COMPLETED,18.42
CASHBACK,Savings,2/26/2023,2/28/2023,Metal Cashback,0.4,0,EUR,COMPLETED,18.82
CASHBACK,Savings,2/27/2023,2/28/2023,Metal Cashback,0.06,0,EUR,COMPLETED,18.88
CASHBACK,Savings,2/27/2023,2/28/2023,Metal Cashback,0.03,0,EUR,COMPLETED,18.91
CASHBACK,Savings,2/28/2023,3/1/2023,Metal Cashback,0.05,0,EUR,COMPLETED,18.96
CASHBACK,Savings,3/1/2023,3/2/2023,Metal Cashback,0.05,0,EUR,COMPLETED,19.01
CASHBACK,Savings,3/1/2023,3/2/2023,Metal Cashback,0.04,0,EUR,COMPLETED,19.05
CASHBACK,Savings,3/1/2023,3/2/2023,Metal Cashback,0.24,0,EUR,COMPLETED,19.29
CASHBACK,Savings,3/4/2023,3/5/2023,Metal Cashback,0.08,0,EUR,COMPLETED,19.37
CASHBACK,Savings,3/3/2023,3/5/2023,Metal Cashback,0.19,0,EUR,COMPLETED,19.56
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.07,0,EUR,COMPLETED,19.63
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.05,0,EUR,COMPLETED,19.68
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.05,0,EUR,COMPLETED,19.73
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.01,0,EUR,COMPLETED,19.74
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.07,0,EUR,COMPLETED,19.81
CASHBACK,Savings,3/5/2023,3/6/2023,Metal Cashback,0.01,0,EUR,COMPLETED,19.82
CASHBACK,Savings,3/5/2023,3/7/2023,Metal Cashback,0.14,0,EUR,COMPLETED,19.96
CASHBACK,Savings,3/5/2023,3/7/2023,Metal Cashback,0.73,0,EUR,COMPLETED,20.69
CASHBACK,Savings,3/5/2023,3/7/2023,Metal Cashback,0.01,0,EUR,COMPLETED,20.7
CASHBACK,Savings,3/6/2023,3/8/2023,Metal Cashback,2.33,0,EUR,COMPLETED,23.03
CASHBACK,Savings,3/6/2023,3/8/2023,Metal Cashback,0.02,0,EUR,COMPLETED,23.05
CASHBACK,Savings,3/6/2023,3/8/2023,Metal Cashback,0.16,0,EUR,COMPLETED,23.21
CASHBACK,Savings,3/6/2023,3/8/2023,Metal Cashback,0.05,0,EUR,COMPLETED,23.26
CASHBACK,Savings,3/8/2023,3/10/2023,Metal Cashback,2.21,0,EUR,COMPLETED,25.47
CASHBACK,Savings,3/8/2023,3/10/2023,Metal Cashback,0.53,0,EUR,COMPLETED,26
CASHBACK,Savings,3/7/2023,3/11/2023,Metal Cashback,0.04,0,EUR,COMPLETED,26.04
CASHBACK,Savings,3/8/2023,3/11/2023,Metal Cashback,0.05,0,EUR,COMPLETED,26.09
CASHBACK,Savings,3/9/2023,3/11/2023,Metal Cashback,0.09,0,EUR,COMPLETED,26.18
CASHBACK,Savings,3/9/2023,3/11/2023,Metal Cashback,0.1,0,EUR,COMPLETED,26.28
CASHBACK,Savings,3/10/2023,3/11/2023,Metal Cashback,0.04,0,EUR,COMPLETED,26.32
CASHBACK,Savings,3/10/2023,3/11/2023,Metal Cashback,0.13,0,EUR,COMPLETED,26.45
CASHBACK,Savings,3/14/2023,3/15/2023,Metal Cashback,0.16,0,EUR,COMPLETED,26.61
CASHBACK,Savings,3/14/2023,3/15/2023,Metal Cashback,0.03,0,EUR,COMPLETED,26.64
CASHBACK,Savings,3/14/2023,3/15/2023,Metal Cashback,0.09,0,EUR,COMPLETED,26.73
CASHBACK,Savings,3/27/2023,3/28/2023,Metal Cashback,2.62,0,EUR,COMPLETED,29.35
CASHBACK,Savings,3/28/2023,3/28/2023,Metal Cashback,0.22,0,EUR,COMPLETED,29.57
CASHBACK,Savings,3/28/2023,3/29/2023,Metal Cashback,0.01,0,EUR,COMPLETED,29.58
CASHBACK,Savings,3/28/2023,3/29/2023,Metal Cashback,0.19,0,EUR,COMPLETED,29.77
CASHBACK,Savings,4/8/2023,4/9/2023,Metal Cashback,0.2,0,EUR,COMPLETED,29.97
CASHBACK,Savings,4/10/2023,4/11/2023,Metal Cashback,0.01,0,EUR,COMPLETED,29.98
CASHBACK,Savings,4/11/2023,4/12/2023,Metal Cashback,0.05,0,EUR,COMPLETED,30.03
CASHBACK,Savings,4/14/2023,4/15/2023,Metal Cashback,0.03,0,EUR,COMPLETED,30.06
CASHBACK,Savings,4/17/2023,4/18/2023,Metal Cashback,0.04,0,EUR,COMPLETED,30.1
CASHBACK,Savings,4/22/2023,4/23/2023,Metal Cashback,0.08,0,EUR,COMPLETED,30.18
CASHBACK,Savings,4/26/2023,4/27/2023,Metal Cashback,0.1,0,EUR,COMPLETED,30.28
CASHBACK,Savings,4/29/2023,4/29/2023,Metal Cashback,0.03,0,EUR,COMPLETED,30.31
CASHBACK,Savings,4/29/2023,4/30/2023,Metal Cashback,0.02,0,EUR,COMPLETED,30.33
CASHBACK,Savings,4/29/2023,4/30/2023,Metal Cashback,0.02,0,EUR,COMPLETED,30.35
CASHBACK,Savings,5/8/2023,5/9/2023,Metal Cashback,0.05,0,EUR,COMPLETED,30.4
CASHBACK,Savings,5/16/2023,5/17/2023,Metal Cashback,0.14,0,EUR,COMPLETED,30.54
CASHBACK,Savings,5/16/2023,5/17/2023,Metal Cashback,0.03,0,EUR,COMPLETED,30.57
CASHBACK,Savings,5/19/2023,5/20/2023,Metal Cashback,0.04,0,EUR,COMPLETED,30.61
